Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,32.06254669057756,1454,False,-179.0,-1.0,19.5,0.6917673838347363,0.0,False
2,39.150479930952244,872,False,123.0,-1.0,19.5,1.1543084444652243,0.0,False
3,-27.676650989819134,187,False,-151.0,-1.0,19.5,1.1296379368074916,0.0,False
4,12.141988349383787,804,False,-174.0,-1.0,19.5,0.9318106170968842,0.0,False
5,15.536176113818378,1236,False,-178.0,-1.0,19.5,0.8938943420394688,0.0,False
6,-13.665755153640383,315,False,-140.0,-1.0,19.5,1.318138235869982,0.0,False
7,-16.5777564658225,288,False,-138.0,-1.0,19.5,1.0046543441129516,0.0,False
8,-16.717122453347542,361,False,121.0,-1.0,19.5,1.3839098258817748,0.0,False
9,-21.510144043879844,271,False,-187.0,-1.0,19.5,1.159351613474733,0.0,False
10,-1.4440496835878491,353,False,-146.0,-1.0,19.5,1.0092550078214828,0.0,False
11,25.729779475189588,934,False,-178.0,-1.0,19.5,1.1285981453334812,0.0,False
12,-20.89787721136638,222,False,-144.0,-1.0,19.5,1.1243655826733998,0.0,False
13,26.32761163201792,1077,False,-94.0,-1.0,19.5,1.8110683769061806,0.0,False
14,-16.231724866932325,373,False,-122.0,-1.0,19.5,1.536346218423951,0.0,False
15,-19.70877897481549,223,False,-144.0,-1.0,19.5,1.036489158656951,0.0,False
16,-5.194309347312256,362,False,-138.0,-1.0,19.5,1.3295802806892552,0.0,False
17,-11.31061262116333,296,False,145.0,-1.0,19.5,1.784288017805355,0.0,False
18,-17.969759472387143,315,False,134.0,-1.0,19.5,1.302655520869626,0.0,False
19,-10.123661386678606,273,False,153.0,-1.0,19.5,1.6935407325952758,0.0,False
20,-3.722873605613188,438,False,127.0,-1.0,19.5,2.1329627614383284,0.0,False
21,-2.799536706688862,458,False,-148.0,-1.0,19.5,2.185387728687081,0.0,False
22,-23.67799549246118,214,False,129.0,-1.0,19.5,2.340682403256553,0.0,False
23,-24.194589011179538,229,False,-154.0,-1.0,19.5,3.5228096800876627,0.0,False
24,-25.367140239017353,194,False,136.0,-1.0,19.5,1.7106896224191661,0.0,False
25,-19.71376026971709,204,False,136.0,-1.0,19.5,2.102556620206337,0.0,False
26,-25.181613485840103,190,False,-145.0,-1.0,19.5,2.913954659129836,0.0,False
27,-24.99522933557772,148,False,-155.0,-1.0,19.5,3.3966557423354478,0.0,False
